"app","acc","enrol","ftime","ptime","instate","outstate","rbcost","bkcost","phd","sfratio","expend","grad","good"
193,146,55,249,869,7560,7560,4120,800,76,11.9,10922,15,0
146,117,89,492,1849,1742,5226,4764,500,39,9.5,9584,39,0
1351,892,570,2385,331,2220,4440,3030,300,72,18.9,5883,51,0
7548,6791,3070,16262,1716,2100,6300,3933,600,85,16.7,6642,69,0
608,520,127,538,126,8080,8080,3920,500,63,11.4,7703,44,0
452,331,269,1417,301,6150,6150,3680,550,59,16.6,5412,52,0
1471,1281,824,4343,990,1697,2883,2570,300,50,23,4295,48,0
2267,1827,611,2825,144,6735,6735,3395,600,70,12.2,10872,65,0
1734,1729,951,3602,939,1730,3460,2650,450,57,19.6,4739,48,0
1490,1490,771,2942,997,1440,2880,2400,500,58,19,4540,68,0
605,405,284,961,99,6398,6398,3672,400,68,13.3,8118,75,0
792,792,499,2229,270,1500,2340,2240,400,40,17,4653,33,0
3235,3108,2133,9978,1530,1932,5028,3300,500,73,14.8,6820,39,0
5891,4931,1973,11249,2682,1828,6746,3728,620,78,21.7,6157,41,0
563,247,247,1427,432,12950,12950,5300,612,72,12.4,8985,60,0
9402,7020,2151,16407,5550,1742,8384,5110,612,87,19.5,7930,41,0
959,771,351,1662,209,16624,16624,5895,600,72,12.8,12692,47,0
344,264,97,500,331,12600,12600,5520,630,77,10.4,9773,43,0
1597,969,226,1431,1522,13540,13540,5050,630,66,14.1,10139,47,0
167,142,89,414,165,6500,6500,3000,500,38,10.7,5612,67,0
940,668,385,1316,139,11925,11925,3825,630,48,12.3,9157,69,0
809,687,428,1889,217,10176,10178,4190,800,71,16.1,7895,54,0
385,340,193,784,127,9520,9520,4124,630,63,18.6,8219,43,0
1498,1219,306,1369,1587,16530,16530,6205,600,81,8.9,10685,73,0
2306,1721,538,4309,549,13226,13226,6452,750,86,13.6,10074,62,0
688,497,144,641,101,10800,10800,4440,570,55,13.1,8415,55,0
1508,1259,569,1922,232,1386,1672,3730,520,63,27.9,3897,60,0
5530,4007,1697,8463,1498,1829,7731,4128,540,75,21.5,6309,40,0
9478,6312,2194,15646,1829,2124,8412,4180,470,87,19.2,7850,59,0
3440,2823,1123,3793,486,1450,6198,3320,500,89,19.1,4362,46,0
1584,1456,891,3471,911,1434,5016,3798,540,48,28.8,3871,59,0
1401,1239,605,3716,675,1644,7100,4380,540,63,19.4,5389,36,0
2974,2001,580,2666,554,15192,15192,4695,400,84,15.9,11762,67,0
2702,1623,604,2315,146,1819,5918,3755,500,76,19.4,4599,52,0
353,340,103,416,230,13290,13290,5720,500,90,11.5,8861,63,0
4158,2532,902,6394,3881,1842,5962,4444,500,69,16.7,4900,49,0
4784,3346,781,2984,1037,15000,15000,6200,700,86,15.1,11220,94,0
3712,2153,806,2677,714,12030,12030,6140,1000,63,12,8847,86,0
2307,1896,509,1707,1889,11070,11070,5780,400,71,14.8,7120,82,0
3852,2652,1044,5892,2478,1842,5962,4796,700,62,15.8,5245,45,0
292,241,96,543,712,12200,12200,4600,650,87,11.2,8680,76,0
5081,4040,1194,3768,1415,14220,14220,6000,500,61,10.7,10625,66,0
2172,1493,564,2766,1531,1842,5962,4316,650,71,16.9,5719,50,0
9735,7187,2064,12478,1660,3824,11656,5072,700,89,16,10178,71,0
1754,1465,505,2159,211,13712,13712,6408,526,90,9.3,12751,75,0
247,189,100,309,639,11412,11412,6430,500,89,8.3,11806,96,0
633,468,284,823,963,6120,6120,2985,531,25,27.6,6081,36,0
980,807,350,872,448,9890,9890,4674,500,52,14.4,6243,84,0
990,784,279,1811,3144,11290,11290,5360,600,76,12.6,9084,72,0
1646,1150,542,2128,82,5188,5188,3396,650,48,13.8,6817,58,0
3151,2584,958,4772,856,7800,7800,3750,570,37,16.5,12878,44,0
1381,1040,374,1506,970,8025,8025,4865,400,65,17.4,6339,68,0
280,143,79,327,110,5590,5590,2900,650,53,15.1,4839,90,0
1558,1254,472,3754,2477,1597,6172,3994,541,83,23.4,8488,53,0
1415,714,338,1345,44,5120,5120,3200,500,52,18.1,3930,69,0
1461,1097,580,2035,321,1772,4535,2754,675,65,17,6238,62,0
367,274,158,917,479,9592,9592,5879,500,71,13.7,5935,49,0
1436,1228,1202,1320,822,4371,4371,2370,500,62,12.6,4900,18,0
544,399,177,600,363,6987,6987,3585,750,77,12.5,9067,75,0
663,562,127,641,63,5640,5640,3620,600,89,13.2,7309,31,0
540,445,165,1115,111,7210,7210,3600,500,62,13.2,7356,58,0
407,317,181,468,31,9700,9700,3744,470,73,19,8614,56,0
1499,779,500,2082,871,480,2920,4270,714,72,15.8,11460,31,0
392,351,155,738,430,10260,10260,3597,600,39,13.1,8355,58,0
460,340,167,604,350,10740,10740,3676,350,67,11,7963,74,0
1006,742,275,1127,205,13925,13925,4390,500,73,12.7,10141,67,0
604,562,328,1048,56,9800,9800,2650,450,61,12.5,7325,87,0
555,414,242,996,2281,9100,9100,3100,550,51,23.6,5609,47,0
535,511,233,1098,380,9820,9820,3360,570,32,12.6,6687,32,0
1641,1283,527,1663,170,11200,11200,4000,500,61,14.2,7578,70,0
586,533,239,950,228,10520,10520,3678,500,48,13,8111,56,0
368,317,159,806,542,10500,10500,3555,500,44,11.3,6695,64,0
325,284,95,364,88,9900,9900,3650,500,32,13.6,6525,21,0
860,811,366,1040,52,9900,9900,3075,300,68,14.9,6357,68,0
1016,872,300,1116,602,11250,11250,4980,550,66,15.8,7411,70,0
897,718,276,1345,390,10450,10450,4020,500,56,14.1,7444,70,0
4144,3379,1853,10135,1448,2291,6197,2930,595,78,16.3,6333,77,0
576,558,137,662,131,10430,10430,3620,400,85,16.5,8767,45,0
663,452,192,1481,1160,8840,8840,3060,500,69,17.4,3733,78,0
326,294,140,630,107,10000,10000,3110,495,35,13.3,7057,40,0
616,514,385,1115,60,9840,9840,2820,450,59,14.8,6261,58,0
3133,2799,1337,7242,1431,1548,5962,3540,832,82,13.5,8805,45,0
261,192,111,453,266,9690,9690,4300,500,57,9.7,9337,71,0
500,336,156,421,27,6500,6500,2700,500,76,14.3,8377,51,0
422,305,160,781,240,9810,9810,4160,400,52,17.5,9729,80,0
528,403,186,1168,145,9216,9216,4191,400,56,12.1,7309,75,0
4815,3551,1227,6069,3719,11214,11214,4932,600,69,16.1,8322,63,0
5597,4253,1565,9161,845,1902,5710,3066,120,62,16.2,5682,76,0
510,387,194,771,53,10310,10310,4530,400,57,14.3,8222,60,0
894,787,262,909,28,8050,8050,3850,600,75,15.6,7348,52,0
8681,6695,2408,15701,1823,2600,7799,3403,537,77,21,5569,54,0
313,228,137,552,67,9414,9414,4554,500,34,10.6,7840,56,0
150,150,121,338,33,6900,6900,4851,800,24,15.9,8812,80,0
1154,1050,395,2192,1423,10560,10560,4520,500,36,14.3,7701,61,0
3579,2959,868,5244,3417,11500,11500,5330,700,94,6.2,13009,65,0
740,558,177,628,63,9620,9620,3750,550,49,10.8,10642,59,0
1002,555,119,836,684,7680,7680,3740,500,70,17.7,6652,52,0
1444,1261,456,1788,95,11910,11910,4378,450,60,11.4,8149,75,0
601,503,204,671,11,13000,13000,4100,400,91,11.6,11087,56,0
513,347,279,2508,505,9090,9090,4500,650,62,18.3,7905,71,0
1127,884,308,1310,766,11718,11718,7398,450,73,16.4,8871,76,0
465,361,176,879,156,12580,12580,4345,400,76,13.1,10889,74,0
10706,7219,2397,14826,1979,2600,7799,3296,470,73,17.3,6086,56,0
1025,707,297,1070,72,10100,10100,4140,450,69,16.3,6880,80,0
422,367,218,1700,2902,8580,8580,5100,600,75,12.2,8995,77,0
434,321,141,624,269,10950,10950,4600,550,79,12.9,9264,81,0
2540,2195,994,6063,2550,1824,5472,3598,221,76,16.5,7498,43,0
607,558,269,1222,519,10500,10500,4348,650,81,11.6,8324,75,0
785,647,295,1670,726,10860,10860,4624,600,87,13.7,8953,55,0
8384,5727,2710,13518,2916,2520,7230,5088,630,82,10,13883,34,0
6491,5027,1563,9015,1449,1902,5706,3193,600,77,17.2,6566,55,0
1216,908,423,1819,281,10100,10100,3520,550,48,12.1,7994,59,0
804,632,281,840,68,10390,10390,4040,525,54,12.5,11751,60,0
440,396,221,910,166,9420,9420,3730,600,51,9.9,10270,72,0
548,428,167,618,113,8958,8958,3670,300,53,15.3,9798,64,0
450,430,125,488,43,9950,9950,3920,300,76,11.8,9466,47,0
1487,1276,388,1417,1646,11120,11120,4080,525,55,11.1,6735,69,0
2379,2133,1292,4283,2973,2040,4973,3192,500,56,22,4078,38,0
1004,802,239,909,51,10440,10440,3850,525,63,11.8,7940,64,0
770,542,238,923,427,9990,9990,3822,450,38,10.4,7799,61,0
495,465,275,695,193,7620,7260,2984,740,41,11.5,5514,62,0
213,166,85,513,247,8670,8670,3820,450,43,12.5,7440,48,0
920,684,225,815,222,11200,11200,4250,600,55,14.8,7360,67,0
150,130,88,341,768,10300,10300,4130,500,44,10.2,9678,75,0
888,734,393,1433,27,12730,12730,4514,500,74,9.9,11165,98,0
1262,1102,276,978,98,9456,9456,4350,468,53,12.8,7603,65,0
602,483,206,958,466,8620,8620,4100,400,58,11,6136,65,0
878,816,200,706,62,8740,8740,3363,550,62,11.6,7718,48,0
202,184,122,537,101,8540,8540,3580,500,61,8.8,8324,56,0
358,276,172,838,122,8516,8516,3130,650,55,25,4962,49,0
1419,1313,813,4469,499,1778,5424,3000,300,52,23.2,1834,58,0
5880,4075,2833,14914,2246,1713,6995,3120,600,76,18.5,6122,54,0
589,575,148,474,258,8400,8400,3250,500,63,12.4,6535,68,0
420,293,93,336,80,7950,7950,3750,600,54,9.8,9754,48,0
213,155,75,504,147,7200,7200,3532,550,56,11.8,7818,52,0
273,229,66,439,415,7800,7800,3880,800,50,8.2,7364,53,0
479,373,127,631,133,8280,8280,3260,500,50,16.1,10049,36,0
257,183,109,396,38,7850,7850,3410,400,55,10,7233,53,0
331,331,225,1100,166,6840,6840,3720,1100,33,15.4,5524,49,0
632,620,222,702,501,9550,9550,3850,350,64,14.1,5922,58,0
307,260,99,452,249,7500,7500,3200,650,49,10.1,6554,56,0
848,587,298,935,184,6060,6060,3070,600,62,17.7,5391,49,0
283,201,97,589,263,8400,8400,2800,600,50,10.6,6860,89,0
