app,acc,enrol,ftime,ptime,instate,outstate,rbcost,bkcost,phd,sfratio,expend,grad,top10
0,193.0,146.0,55.0,249.0,869.0,7560.0,7560.0,4120.0,800.0,76.0,11.9,10922.0,15.0,16.0
2,146.0,117.0,89.0,492.0,1849.0,1742.0,5226.0,4764.0,500.0,39.0,9.5,9584.0,39.0,4.0
6,1351.0,892.0,570.0,2385.0,331.0,2220.0,4440.0,3030.0,300.0,72.0,18.9,5883.0,51.0,18.0
8,7548.0,6791.0,3070.0,16262.0,1716.0,2100.0,6300.0,3933.0,600.0,85.0,16.7,6642.0,69.0,25.0
9,805.0,588.0,287.0,1376.0,207.0,11660.0,11660.0,4325.0,400.0,74.0,14.0,8649.0,72.0,67.0
11,608.0,520.0,127.0,538.0,126.0,8080.0,8080.0,3920.0,500.0,63.0,11.4,7703.0,44.0,26.0
16,452.0,331.0,269.0,1417.0,301.0,6150.0,6150.0,3680.0,550.0,59.0,16.6,5412.0,52.0,17.0
18,1680.0,1395.0,691.0,2959.0,402.0,8236.0,8236.0,3700.0,569.0,74.0,14.7,9533.0,61.0,34.0
21,4414.0,1500.0,335.0,908.0,119.0,5666.0,5666.0,2964.0,1000.0,56.0,15.5,5970.0,46.0,30.0
22,1471.0,1281.0,824.0,4343.0,990.0,1697.0,2883.0,2570.0,300.0,50.0,23.0,4295.0,48.0,18.0
23,2267.0,1827.0,611.0,2825.0,144.0,6735.0,6735.0,3395.0,600.0,70.0,12.2,10872.0,65.0,20.0
25,1797.0,1260.0,938.0,6960.0,4698.0,2220.0,4440.0,5175.0,750.0,96.0,6.7,16352.0,33.0,24.0
31,708.0,334.0,166.0,530.0,182.0,8644.0,8644.0,3922.0,500.0,79.0,12.6,14579.0,54.0,46.0
32,1734.0,1729.0,951.0,3602.0,939.0,1730.0,3460.0,2650.0,450.0,57.0,19.6,4739.0,48.0,12.0
36,1490.0,1490.0,771.0,2942.0,997.0,1440.0,2880.0,2400.0,500.0,58.0,19.0,4540.0,68.0,21.0
37,823.0,721.0,274.0,954.0,6.0,8800.0,8800.0,3195.0,500.0,82.0,13.1,8588.0,63.0,52.0
38,605.0,405.0,284.0,961.0,99.0,6398.0,6398.0,3672.0,400.0,68.0,13.3,8118.0,75.0,24.0
40,910.0,773.0,450.0,1310.0,61.0,6530.0,6530.0,2800.0,500.0,63.0,13.3,6413.0,65.0,31.0
43,792.0,792.0,499.0,2229.0,270.0,1500.0,2340.0,2240.0,400.0,40.0,17.0,4653.0,33.0,26.0
44,3235.0,3108.0,2133.0,9978.0,1530.0,1932.0,5028.0,3300.0,500.0,73.0,14.8,6820.0,39.0,25.0
45,1721.0,1068.0,806.0,3128.0,213.0,5504.0,5504.0,3528.0,700.0,71.0,17.7,6466.0,73.0,35.0
48,5891.0,4931.0,1973.0,11249.0,2682.0,1828.0,6746.0,3728.0,620.0,78.0,21.7,6157.0,41.0,23.0
55,563.0,247.0,247.0,1427.0,432.0,12950.0,12950.0,5300.0,612.0,72.0,12.4,8985.0,60.0,23.0
62,7811.0,3817.0,1650.0,12911.0,1404.0,2033.0,7380.0,4877.0,612.0,72.0,19.8,8453.0,59.0,47.0
65,4540.0,3294.0,1483.0,13494.0,1254.0,1802.0,7706.0,4368.0,600.0,90.0,21.2,7268.0,61.0,5.0
75,959.0,771.0,351.0,1662.0,209.0,16624.0,16624.0,5895.0,600.0,72.0,12.8,12692.0,47.0,23.0
76,1860.0,767.0,227.0,887.0,1.0,17000.0,17000.0,6010.0,500.0,99.0,9.6,18443.0,87.0,71.0
78,1133.0,630.0,220.0,750.0,30.0,17688.0,17688.0,5900.0,650.0,100.0,10.4,14820.0,73.0,37.0
80,855.0,632.0,139.0,569.0,7.0,17238.0,17238.0,7350.0,600.0,95.0,8.2,18372.0,73.0,60.0
81,344.0,264.0,97.0,500.0,331.0,12600.0,12600.0,5520.0,630.0,77.0,10.4,9773.0,43.0,11.0
85,1597.0,969.0,226.0,1431.0,1522.0,13540.0,13540.0,5050.0,630.0,66.0,14.1,10139.0,47.0,16.0
88,657.0,537.0,113.0,1039.0,466.0,12474.0,12474.0,5678.0,630.0,53.0,11.9,10613.0,72.0,37.0
89,2324.0,1319.0,370.0,1686.0,35.0,16560.0,16560.0,5140.0,558.0,91.0,10.5,16196.0,79.0,52.0
90,167.0,142.0,89.0,414.0,165.0,6500.0,6500.0,3000.0,500.0,38.0,10.7,5612.0,67.0,9.0
91,346.0,274.0,146.0,704.0,63.0,9900.0,9900.0,3670.0,630.0,59.0,10.5,8095.0,54.0,51.0
92,940.0,668.0,385.0,1316.0,139.0,11925.0,11925.0,3825.0,630.0,48.0,12.3,9157.0,69.0,20.0
93,809.0,687.0,428.0,1889.0,217.0,10176.0,10178.0,4190.0,800.0,71.0,16.1,7895.0,54.0,20.0
95,385.0,340.0,193.0,784.0,127.0,9520.0,9520.0,4124.0,630.0,63.0,18.6,8219.0,43.0,18.0
96,2643.0,1611.0,465.0,2615.0,248.0,13332.0,13332.0,6354.0,630.0,88.0,16.1,9619.0,78.0,36.0
106,1498.0,1219.0,306.0,1369.0,1587.0,16530.0,16530.0,6205.0,600.0,81.0,8.9,10685.0,73.0,26.0
107,2306.0,1721.0,538.0,4309.0,549.0,13226.0,13226.0,6452.0,750.0,86.0,13.6,10074.0,62.0,23.0
108,4019.0,2779.0,888.0,3891.0,128.0,13584.0,13584.0,5928.0,630.0,88.0,13.9,10872.0,100.0,40.0
109,12229.0,8498.0,2477.0,13259.0,1429.0,17230.0,17230.0,6482.0,600.0,90.0,11.4,17007.0,68.0,45.0
110,2459.0,1997.0,582.0,2664.0,299.0,16320.0,16320.0,5326.0,646.0,87.0,11.2,13706.0,65.0,36.0
111,950.0,713.0,351.0,1276.0,9.0,14320.0,14320.0,5304.0,490.0,77.0,14.9,8837.0,87.0,42.0
112,1681.0,1069.0,344.0,1235.0,30.0,16249.0,16249.0,5699.0,500.0,84.0,13.6,11778.0,52.0,35.0
