Year,AnnualFlows
1911,18.11
1912,21.07
1913,15.77
1914,24.17
1915,14.71
1916,22.54
1917,25.79
1918,16.94
1919,12.99
1920,24.68
1921,25.22
1922,19.81
1923,20.89
1924,14.4
1925,15.21
1926,16.08
1927,21.57
1928,18.13
1929,24.18
1930,15.26
1931,7.64
1932,18.64
1933,11.99
1934,4.85
1935,12.63
1936,14.93
1937,14.77
1938,14.11
1939,10.88
1940,9.33
1941,22
1942,18.24
1943,14.04
1944,16.03
1945,14.5
1946,10.79
1947,17.32
1948,15.88
1949,18.01
1950,13.3
1951,12.2
1952,22.06
1953,10.74
1954,7.57
1955,8.57
1956,10.67
1957,23.04
1958,16.19
1959,8.68
1960,10.82
1961,11.61
1962,17.81
1963,1.66
1964,3.98
1965,14.3
1966,9.57
1967,9.32
1968,10.73
1969,11.06
1970,9.92
1971,11.39
1972,11.52
